Date,ABB.NS,ADANIENSOL.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASIANPAINT.NS,ATGL.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANKBARODA.NS,BEL.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,CANBK.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,DABUR.NS,DIVISLAB.NS,DLF.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HAL.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,ICICIPRULI.NS,INDIGO.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,IRCTC.NS,IRFC.NS,ITC.NS,JINDALSTEL.NS,JIOFIN.NS,JSWENERGY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LICI.NS,LODHA.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,MOTHERSON.NS,NAUKRI.NS,NESTLEIND.NS,NHPC.NS,NTPC.NS,ONGC.NS,PFC.NS,PIDILITIND.NS,PNB.NS,POWERGRID.NS,RECLTD.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SHRIRAMFIN.NS,SIEMENS.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TORNTPHARM.NS,TRENT.NS,TVSMOTOR.NS,ULTRACEMCO.NS,UNIONBANK.NS,UNITDSPR.NS,VBL.NS,VEDL.NS,WIPRO.NS,ZOMATO.NS,ZYDUSLIFE.NS
2019-01-01,1155.927490234375,,155.2471160888672,41.400001525878906,375.1011962890625,50.849998474121094,198.53924560546875,1243.499267578125,1308.9986572265625,101.29454803466797,623.803955078125,2288.5341796875,650.470458984375,2677.706298828125,2608.03564453125,113.0744400024414,25.51544189453125,282.769775390625,68.73931884765625,18029.865234375,124.32261657714844,2792.42236328125,50.985984802246094,245.6360626220703,500.79058837890625,140.92849731445312,400.9575500488281,1400.79736328125,171.6167755126953,1590.75,486.00531005859375,2037.9412841796875,93.41673278808594,779.6663818359375,805.2003173828125,333.161865234375,669.5907592773438,402.644287109375,1022.4208984375,379.9281005859375,2551.406982421875,213.9750213623047,1643.743408203125,349.9126892089844,841.8062744140625,321.97003173828125,1161.9595947265625,1532.7750244140625,571.9492797851562,60.88505935668945,,,224.8490753173828,160.94851684570312,,64.46707916259766,278.1873474121094,1246.01171875,,,1307.7125244140625,1580.114013671875,722.78271484375,7080.2734375,60.31413269042969,1410.5289306640625,1035.25439453125,18.958040237426758,90.21387481689453,101.86489868164062,57.637821197509766,1072.735595703125,76.18818664550781,80.14029693603516,53.56169891357422,495.85418701171875,591.60888671875,281.9967956542969,16607.578125,1090.6834716796875,1028.0631103515625,409.1576232910156,208.55332946777344,172.37913513183594,69.0654525756836,20.220041275024414,1738.8333740234375,600.3260498046875,898.25927734375,830.8106079101562,358.69342041015625,546.82275390625,3903.28857421875,78.84381866455078,,46.75447463989258,88.26016998291016,119.08733367919922,,323.9579772949219
2019-01-02,1155.9713134765625,,152.87770080566406,41.150001525878906,367.67626953125,50.54999923706055,195.02096557617188,1235.98779296875,1320.2127685546875,99.90216827392578,616.5943603515625,2259.4521484375,636.7120361328125,2677.842041015625,2566.022216796875,109.45201873779297,26.17192840576172,276.7072448730469,67.99417877197266,17938.9609375,121.19083404541016,2804.8408203125,49.88113784790039,242.0742950439453,492.65234375,138.12741088867188,395.7774658203125,1396.4775390625,164.76351928710938,1560.25,484.8868408203125,1859.337890625,90.3600082397461,778.9905395507812,787.8114013671875,333.7042236328125,666.69970703125,396.98126220703125,1013.0917358398438,384.5985412597656,2485.2890625,206.09805297851562,1628.68505859375,350.7303466796875,843.9271850585938,315.94354248046875,1157.3739013671875,1514.5233154296875,575.389404296875,60.68607711791992,,,223.1788330078125,156.30482482910156,,65.11405944824219,264.2298889160156,1236.1966552734375,,,1292.8387451171875,1598.64990234375,693.2022705078125,6882.4052734375,59.694400787353516,1402.14794921875,1037.1668701171875,18.738868713378906,89.18252563476562,100.87028503417969,55.840003967285156,1078.2843017578125,74.3264389038086,78.23696899414062,52.85139846801758,489.39617919921875,594.4244995117188,276.6316833496094,16574.998046875,1060.2181396484375,1022.1616821289062,415.2919006347656,204.2699432373047,167.5093994140625,67.39960479736328,19.353605270385742,1757.5670166015625,594.4406127929688,902.2764892578125,831.8399047851562,351.8554992675781,518.4427490234375,3900.270751953125,78.75452423095703,,45.62467575073242,84.35154724121094,118.6863021850586,,320.9039001464844
2019-01-03,1146.9461669921875,,150.55763244628906,40.95000076293945,364.5906677246094,50.349998474121094,190.47833251953125,1243.744873046875,1324.98486328125,100.29998779296875,604.5618896484375,2267.299560546875,636.6421508789062,2702.486572265625,2538.68359375,109.40616607666016,25.90933609008789,277.45953369140625,65.89847564697266,17775.072265625,119.34563446044922,2821.9833984375,50.04414367675781,234.93116760253906,490.5938720703125,137.13540649414062,401.1001281738281,1365.1473388671875,164.14480590820312,1575.9000244140625,480.46868896484375,1775.79541015625,90.26972961425781,786.9576416015625,772.5479736328125,330.7421569824219,656.6770629882812,397.8201904296875,1005.1431274414062,384.7460021972656,2459.265625,200.9588165283203,1632.1531982421875,349.4316711425781,836.938232421875,312.4364013671875,1152.9378662109375,1498.6728515625,575.475341796875,58.65217208862305,,,221.78692626953125,144.74501037597656,,64.46707916259766,258.6927185058594,1230.8658447265625,,,1265.177001953125,1602.8919677734375,671.3323364257812,6821.89453125,58.78303527832031,1460.863037109375,1053.3089599609375,18.665813446044922,86.99844360351562,97.6805419921875,56.85967254638672,1079.842041015625,74.3264389038086,77.35542297363281,53.872467041015625,483.3583679199219,592.79443359375,273.9962463378906,16583.265625,1022.5241088867188,1010.8908081054688,411.5642395019531,199.93896484375,165.0248260498047,66.81429290771484,18.867464065551758,1736.2288818359375,577.0760498046875,901.3567504882812,844.8480834960938,346.95001220703125,520.9612426757812,3797.0224609375,79.2456283569336,,45.91142272949219,82.08065032958984,118.66806030273438,,318.0350646972656
2019-01-04,1142.30224609375,,150.60699462890625,40.54999923706055,368.4959411621094,50.04999923706055,192.88327026367188,1269.618408203125,1322.646484375,100.29998779296875,616.1468505859375,2294.871337890625,639.3499145507812,2679.249267578125,2528.720458984375,111.60711669921875,26.799238204956055,285.3806457519531,66.50389862060547,17902.998046875,121.69869232177734,2810.10498046875,51.24860763549805,236.33042907714844,490.9767761230469,138.01071166992188,398.48626708984375,1386.6038818359375,166.7147979736328,1577.75,484.6910705566406,1766.319580078125,91.09516906738281,775.8519287109375,778.7789306640625,339.8785400390625,653.9304809570312,391.1084289550781,1007.832275390625,386.9091796875,2437.403564453125,202.59182739257812,1626.038330078125,351.3074951171875,835.6851196289062,320.78448486328125,1139.6295166015625,1487.241455078125,568.5092163085938,59.226966857910156,,,223.4572296142578,150.52493286132812,,63.496612548828125,263.5434875488281,1243.5205078125,,,1258.8739013671875,1561.439697265625,678.1549072265625,6850.82421875,57.83521270751953,1526.2431640625,1019.8547973632812,18.665813446044922,88.4241714477539,99.94422912597656,57.39631652832031,1076.3861083984375,77.62029266357422,78.4974136352539,53.96125793457031,485.9681091308594,595.560546875,280.161376953125,16376.517578125,1031.171630859375,1028.1114501953125,409.3935546875,203.50843811035156,169.8945770263672,67.5796890258789,19.118375778198242,1715.119384765625,568.6026000976562,898.6949462890625,850.2758178710938,346.3058776855469,523.9638061523438,3811.13916015625,82.37080383300781,,46.30139923095703,84.24237823486328,118.28527069091797,,318.54400634765625
2019-01-07,1140.6810302734375,,149.3235626220703,41.099998474121094,368.0138244628906,50.349998474121094,194.17477416992188,1258.9154052734375,1332.3336181640625,101.09562683105469,633.8973999023438,2231.376708984375,639.0209350585938,2681.201171875,2506.6826171875,112.5241928100586,26.667945861816406,287.5932312011719,67.29560852050781,17968.984375,120.37825775146484,2829.093017578125,50.397335052490234,234.3831787109375,492.1735534667969,136.84359741210938,399.6268310546875,1410.8135986328125,171.14085388183594,1571.1500244140625,476.9826354980469,1742.316162109375,92.11408233642578,773.0995483398438,792.7866821289062,329.3446350097656,668.3861694335938,394.9677429199219,1009.3552856445312,386.4666748046875,2413.011474609375,200.3344268798828,1629.0047607421875,353.71246337890625,834.2871704101562,316.0917663574219,1110.271484375,1497.7603759765625,577.6683959960938,59.005889892578125,,,224.01394653320312,150.376708984375,,64.79056549072266,265.28240966796875,1242.1754150390625,,,1255.0194091796875,1576.65576171875,681.8468017578125,6971.60888671875,57.270164489746094,1589.9080810546875,1013.7362670898438,18.958040237426758,90.15321350097656,101.41903686523438,57.23530578613281,1073.368408203125,76.90424346923828,79.51920318603516,53.22876739501953,488.66632080078125,595.1654663085938,278.89068603515625,16557.138671875,1043.2777099609375,1027.482666015625,406.5623474121094,204.6031036376953,174.2674102783203,67.26454162597656,19.03408432006836,1734.3558349609375,573.9456176757812,913.7949829101562,853.3640747070312,347.8419189453125,517.9584350585938,3823.01708984375,80.89750671386719,,46.55086898803711,84.48258972167969,118.21235656738281,,322.8936767578125
2019-01-08,1138.5782470703125,,151.49554443359375,40.75,365.2174377441406,51.54999923706055,194.7982940673828,1226.9049072265625,1337.34423828125,100.54862976074219,647.2725219726562,2261.84423828125,642.6013793945312,2682.6982421875,2490.436767578125,113.57881164550781,26.507469177246094,291.3988952636719,66.45731353759766,17775.7578125,119.15941619873047,2780.273681640625,52.14516830444336,234.77459716796875,491.7906494140625,136.14332580566406,395.7774658203125,1385.037109375,172.7589874267578,1572.4000244140625,479.1916809082031,1761.1402587890625,91.46920013427734,752.72314453125,808.195068359375,329.3655090332031,645.401611328125,396.4779052734375,1000.9546508789062,388.089111328125,2423.086181640625,198.3651580810547,1616.1363525390625,365.6888122558594,833.0823364257812,320.53753662109375,1106.832275390625,1515.6279296875,576.2492065429688,59.24907302856445,,,226.08189392089844,155.8602294921875,,64.97541809082031,268.9891662597656,1224.538330078125,,,1253.568115234375,1556.828857421875,676.098876953125,7044.95166015625,57.68939208984375,1587.359375,1034.3472900390625,18.99456787109375,89.15217590332031,101.14463806152344,58.44281768798828,1073.660400390625,78.00218200683594,79.07842254638672,53.983463287353516,488.6220703125,605.0939331054688,287.36187744140625,16392.90625,1057.8675537109375,1018.0499877929688,422.84185791015625,204.79345703125,178.83900451660156,67.48963928222656,19.2634334564209,1730.380615234375,575.9072265625,915.8275756835938,850.392822265625,351.80596923828125,518.3460693359375,3812.8427734375,84.42449951171875,,46.59101486206055,85.44334411621094,118.6863021850586,,323.2176208496094
2019-01-09,1138.7532958984375,,147.44776916503906,40.650001525878906,363.8192138671875,50.900001525878906,189.58763122558594,1244.481201171875,1338.06005859375,100.69780731201172,666.3653564453125,2263.564208984375,638.2179565429688,2678.79541015625,2477.969970703125,112.75345611572266,26.94512367248535,296.04534912109375,65.4327621459961,17937.626953125,115.13043975830078,2783.06298828125,50.80485916137695,234.63754272460938,488.3917236328125,135.7640380859375,400.6248779296875,1398.7086181640625,173.33009338378906,1595.75,485.2690124511719,1782.7891845703125,88.05135345458984,747.3634033203125,806.939208984375,326.5703430175781,657.0144653320312,393.6463928222656,1007.5230102539062,389.3673095703125,2396.288330078125,197.59666442871094,1629.05029296875,367.7088928222656,833.0823364257812,332.689208984375,1101.3992919921875,1538.6829833984375,581.452392578125,58.36475372314453,,,230.9733428955078,149.98150634765625,,64.55950164794922,266.1061706542969,1233.8551025390625,,,1257.06005859375,1619.030029296875,678.8092041015625,7095.51953125,59.0382194519043,1596.4757080078125,1057.547607421875,18.958040237426758,88.90950775146484,99.66986083984375,58.09398651123047,1068.98779296875,77.04744720458984,79.1786117553711,53.65049362182617,491.3203125,635.17578125,287.36187744140625,15993.2568359375,1073.12255859375,1019.2594604492188,423.50244140625,202.36624145507812,181.9198760986328,66.94937133789062,18.787090301513672,1724.34912109375,579.1214599609375,922.4097900390625,856.382080078125,347.04913330078125,522.7047119140625,3716.40966796875,82.14757537841797,,46.7974739074707,85.05030059814453,119.9440689086914,,321.7831115722656
2019-01-10,1139.62939453125,,149.17547607421875,40.650001525878906,366.663818359375,50.5,189.85482788085938,1262.1558837890625,1332.66748046875,99.8524398803711,659.5535888671875,2287.4013671875,635.5101928710938,2695.8603515625,2468.447998046875,113.21199035644531,26.959712982177734,298.5234680175781,64.1287612915039,18147.291015625,113.62381744384766,2779.73388671875,50.904476165771484,233.74716186523438,491.40765380859375,135.96826171875,400.29217529296875,1443.520263671875,174.71026611328125,1587.800048828125,484.7656555175781,1806.0767822265625,88.70911407470703,752.7714233398438,792.351806640625,323.6709899902344,663.0857543945312,392.5766906738281,1003.5724487304688,399.8880920410156,2381.6455078125,195.9636688232422,1630.145263671875,365.06353759765625,858.3388061523438,344.2974548339844,1093.5738525390625,1504.2447509765625,584.54833984375,57.43623352050781,,,230.33706665039062,147.9066619873047,,64.60572814941406,264.779052734375,1215.2213134765625,,,1263.0003662109375,1650.6146240234375,685.258056640625,6999.59228515625,59.0382194519043,1554.6204833984375,1072.994140625,18.665813446044922,89.8498764038086,98.26363372802734,57.98664474487305,1085.5855712890625,77.57255554199219,78.3972396850586,54.53839111328125,489.8827209472656,627.0748901367188,287.5971984863281,16140.7578125,1052.1912841796875,1036.1898193359375,419.5859375,203.8415985107422,184.6031951904297,67.44463348388672,18.83414077758789,1725.8115234375,579.8310546875,935.718994140625,868.6884155273438,350.9140319824219,523.1890258789062,3717.334716796875,82.86190032958984,,47.04981994628906,85.35600280761719,118.75921630859375,,323.9117126464844
2019-01-11,1179.0599365234375,,149.57040405273438,39.75,363.674560546875,50.25,189.58763122558594,1269.32373046875,1339.634765625,98.46007537841797,662.7854614257812,2283.750244140625,635.4801635742188,2729.808837890625,2468.00634765625,111.10274505615234,26.85759162902832,296.5763854980469,63.84933853149414,17975.80078125,114.19938659667969,2786.842529296875,50.397335052490234,231.3498077392578,488.48748779296875,135.5305938720703,400.7674560546875,1428.9947509765625,173.377685546875,1571.6500244140625,482.4820251464844,1801.8154296875,87.34197235107422,752.240234375,786.6039428710938,323.6501159667969,663.0857543945312,394.3385925292969,1005.1906127929688,399.78973388671875,2365.125732421875,197.74078369140625,1614.813232421875,364.1496887207031,853.1332397460938,352.25042724609375,1054.1473388671875,1455.4927978515625,587.8164672851562,58.01103973388672,,,234.91041564941406,147.0174560546875,,64.74435424804688,264.3214416503906,1218.8583984375,,,1242.1407470703125,1596.4827880859375,680.3046264648438,6932.263671875,58.76481246948242,1563.981689453125,1059.4976806640625,18.62928581237793,89.78921508789062,99.22395324707031,57.69147872924805,1079.842041015625,76.99971771240234,77.87633514404297,55.2930793762207,485.70269775390625,630.779541015625,284.9617004394531,15570.3681640625,1055.162353515625,1023.4192504882812,419.397216796875,201.6999053955078,179.1868438720703,67.53468322753906,18.591066360473633,1683.77490234375,583.7129516601562,928.5562744140625,882.3516235351562,352.3509521484375,523.6732788085938,3670.6025390625,83.62088012695312,,46.35588455200195,85.85823822021484,119.83470153808594,,322.33837890625
2019-01-14,1145.5439453125,,146.4604949951172,39.599998474121094,361.0710754394531,49.54999923706055,191.36907958984375,1298.683349609375,1325.27099609375,97.51526641845703,655.5262451171875,2265.453125,635.1959838867188,2730.989013671875,2498.044189453125,110.91932678222656,26.726299285888672,293.4787292480469,63.15077209472656,17605.83984375,113.40373992919922,2801.9609375,50.35205078125,232.7588653564453,490.1629943847656,134.7427978515625,412.0305480957031,1453.0145263671875,172.42584228515625,1397.4000244140625,480.7390441894531,1799.425537109375,83.80806732177734,750.5503540039062,786.0725708007812,322.2942199707031,663.5676879882812,393.1429748535156,1000.31201171875,385.48345947265625,2338.817626953125,198.02896118164062,1609.7935791015625,359.1474914550781,831.298828125,346.27337646484375,1078.271728515625,1425.617431640625,603.6405639648438,58.49740219116211,,,234.0752716064453,142.27493286132812,,63.68145751953125,259.8367614746094,1207.4490966796875,,,1209.7633056640625,1594.6383056640625,677.173583984375,7015.7861328125,58.965309143066406,1607.8463134765625,1055.32958984375,18.556232452392578,88.30282592773438,98.40081024169922,57.3158073425293,1104.5687255859375,78.76597595214844,77.13502502441406,55.2930793762207,485.1497802734375,612.6019287109375,282.7497863769531,15162.6923828125,1036.8477783203125,1019.7914428710938,425.4843444824219,203.22288513183594,181.2738800048828,66.90435028076172,18.459728240966797,1657.0,567.5590209960938,926.8137817382812,882.1410522460938,354.6303405761719,518.1522216796875,3676.83349609375,84.15662384033203,,46.99820327758789,84.3078842163086,113.94686889648438,,327.3359069824219
